genres,movie,directors,link,stars,year,runtime
1,Avengers: Endgame,"Anthony Russo, Joe Russo",,"Brie Larson, Robert Downey Jr., Karen Gillan, Tessa Thompson",2019,181 min
2,Captain Marvel,"Anna Boden, Ryan Fleck",,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",2019,123 min
3,Terminator: Dark Fate,Tim Miller,,"Mackenzie Davis, Arnold Schwarzenegger, Linda Hamilton, Brett Azar",2019,
4,Aquaman,James Wan,,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",2018,143 min
5,Glass,M. Night Shyamalan,,"James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy",2019,129 min
6,Hellboy,Neil Marshall,,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane",2019,120 min
7,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman",,"Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",2018,117 min
8,Avengers: Infinity War,"Anthony Russo, Joe Russo",,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",2018,149 min
9,Bumblebee,Travis Knight,,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker",2018,114 min
10,Escape Room,Adam Robitel,,"Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine",2019,99 min
11,Spider-Man: Far from Home,Jon Watts,,"Cobie Smulders, Zendaya, Tom Holland, Samuel L. Jackson",2019,
12,Venom,Ruben Fleischer,,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",2018,112 min
13,Alita: Battle Angel,Robert Rodriguez,,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali",2019,122 min
14,Thor: Ragnarok,Taika Waititi,,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo",2017,130 min
15,Mortal Engines,Christian Rivers,,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae",2018,128 min
16,Dark Phoenix,Simon Kinberg,,"Sophie Turner, Jennifer Lawrence, Michael Fassbender, James McAvoy",2019,
17,High Life,Claire Denis,,"Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth",2018,110 min
18,Godzilla: King of the Monsters,Michael Dougherty,,"Millie Bobby Brown, Vera Farmiga, Charles Dance, Bradley Whitford",2019,
19,Black Panther,Ryan Coogler,,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",2018,134 min
20,Justice League vs the Fatal Five,Sam Liu,,"Elyes Gabel, Diane Guerrero, Kevin Conroy, Susan Eisenberg",2019,77 min
21,Suicide Squad,David Ayer,,"Will Smith, Jared Leto, Margot Robbie, Viola Davis",2016,123 min
22,Deadpool 2,David Leitch,,"Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison",2018,119 min
23,Guardians of the Galaxy,James Gunn,,"Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana",2014,121 min
24,Sonic the Hedgehog,Jeff Fowler,,"Jim Carrey, James Marsden, Neal McDonough, Ben Schwartz",2019,
25,The Meg,Jon Turteltaub,,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",2018,113 min
26,A Quiet Place,John Krasinski,,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",2018,90 min
27,Brightburn,David Yarovesky,,"Elizabeth Banks, David Denman, Matt Jones, Meredith Hagner",2019,
28,Spider-Man: Homecoming,Jon Watts,,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",2017,133 min
29,Guardians of the Galaxy Vol. 2,James Gunn,,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",2017,136 min
