movie,directors,stars,year,runtime,genres
Avengers: Endgame,"Anthony Russo, Joe Russo","Brie Larson, Robert Downey Jr., Karen Gillan, Tessa Thompson",2019,181 min,"Action, Adventure, Fantasy"
Captain Marvel,"Anna Boden, Ryan Fleck","Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law",2019,123 min,"Action, Adventure, Sci-Fi"
Terminator: Dark Fate,Tim Miller,"Mackenzie Davis, Arnold Schwarzenegger, Linda Hamilton, Brett Azar",2019,,"Action, Adventure, Sci-Fi"
Aquaman,James Wan,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",2018,143 min,"Action, Adventure, Fantasy"
Glass,M. Night Shyamalan,"James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy",2019,129 min,"Drama, Sci-Fi, Thriller"
Hellboy,Neil Marshall,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane",2019,120 min,"Action, Adventure, Fantasy"
Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",2018,117 min,"Animation, Action, Adventure"
Avengers: Infinity War,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",2018,149 min,"Action, Adventure, Sci-Fi"
Bumblebee,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker",2018,114 min,"Action, Adventure, Sci-Fi"
Escape Room,Adam Robitel,"Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine",2019,99 min,"Action, Adventure, Drama"
Spider-Man: Far from Home,Jon Watts,"Cobie Smulders, Zendaya, Tom Holland, Samuel L. Jackson",2019,,"Action, Adventure, Comedy"
Venom,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze",2018,112 min,"Action, Sci-Fi, Thriller"
Alita: Battle Angel,Robert Rodriguez,"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali",2019,122 min,"Action, Adventure, Romance"
Thor: Ragnarok,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo",2017,130 min,"Action, Adventure, Comedy"
Mortal Engines,Christian Rivers,"Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae",2018,128 min,"Action, Adventure, Fantasy"
Dark Phoenix,Simon Kinberg,"Sophie Turner, Jennifer Lawrence, Michael Fassbender, James McAvoy",2019,,"Action, Adventure, Sci-Fi"
High Life,Claire Denis,"Robert Pattinson, Juliette Binoche, André Benjamin, Mia Goth",2018,110 min,"Adventure, Drama, Horror"
Godzilla: King of the Monsters,Michael Dougherty,"Millie Bobby Brown, Vera Farmiga, Charles Dance, Bradley Whitford",2019,,"Action, Adventure, Fantasy"
Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",2018,134 min,"Action, Adventure, Sci-Fi"
Justice League vs the Fatal Five,Sam Liu,"Elyes Gabel, Diane Guerrero, Kevin Conroy, Susan Eisenberg",2019,77 min,"Animation, Fantasy, Sci-Fi"
