movie,directors,stars,year,runtime,genres
Mazinkaizer SKL ,Jun Kawagoe,"Shintarou Asanuma, 日野聪, Saori Hayami",2010, 1h 21m,"Science Fiction, Animation, Action"
"Vente a Alemania, Pepe ",Pedro Lazaga,"Alfredo Landa, José Sacristán, Tina Sáinz",1971, 1h 35m,Science Fiction
The Twelve Months of the Summer ,Richard Hobert,"Hans Mosesson, Bergljót Arnadóttir, Victoria Möllerström-Hjelm, Göran Stangertz",1988, 2h 10m,"Horror, Science Fiction, Drama, Mystery"
Murdercycle ,Thomas L. Callaway,"Charles Wesley, Cassandra Ellis, Robert Donavan, Michael Vachetti, Robert Staccardo",1999, 1h 30m,"Action, Science Fiction"
Computer Superman ,Sompote Sands,,1977, 1h 44m,Science Fiction
Halloween III: Season of the Witch ,Tommy Lee Wallace,"Tom Atkins, Stacey Nelkin, Dan O'Herlihy, Michael Currie, Ralph Strait",1982, 1h 38m,"Horror, Mystery, Science Fiction"
WALL·E ,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger",2008, 1h 38m,"Animation, Family, Science Fiction"
The Quiet Earth ,Geoff Murphy,"Bruno Lawrence, Alison Routledge, Anzac Wallace, Pete Smith, Tom Hyde",1985, 1h 31m,"Drama, Science Fiction, Thriller"
Warriors of Terra ,Robert Wilson,"Edward Furlong, Ellen Furey, Dylan Taylor, Andrew Gillies, Andrew Hachey",2006, 1h 30m,"Horror, Science Fiction"
The High Crusade ,"Holger Neuhäuser, Klaus Knoesel","John Rhys-Davies, Rick Overton, Michael Des Barres, Catherine Punch, Patrick Brymer",1994, 1h 40m,"Adventure, Fantasy, Comedy, Science Fiction"
Final Mission ,Lee Redmond,"Billy Wirth, Steve Railsback, Elizabeth Gracen, Richard Bradford, Corbin Bernsen",1994, 1h 28m,"Science Fiction, Action, Thriller"
Death Run ,Michael J. Murphy,"Rob Bartlett, Wendy Parsons, Debbi Stevens, Eddie Kirby, Patrick Olliver",1987, 1h 10m,"Action, Horror, Science Fiction"
Mock Up on Mu ,Craig Baldwin,"Damon Packard, Michelle Silva, Kalman Spelletich, Stoney Burke",2008, 1h 54m,"Comedy, Science Fiction"
The Beast of Hollow Mountain ,"Edward Nassour, Ismael Rodríguez","Guy Madison, Patricia Medina, Carlos Rivas, Mario Navarro, Pascual García Peña",1956, 1h 21m,"Horror, Science Fiction, Western"
The Thing from Another World ,Christian Nyby,"Margaret Sheridan, Kenneth Tobey, Robert Cornthwaite, Douglas Spencer, James Young",1951, 1h 27m,"Horror, Science Fiction"
The Return of Superman ,Kunt Tulgar,"Tayfun Demir, Güngör Bayrak, Yildirim Gencer, Eşref Kolçak",1979, 1h 9m,"Science Fiction, Adventure, Fantasy"
Doomwatch ,Peter Sasdy,"Ian Bannen, Judy Geeson, John Paul, George Sanders, Simon Oates",1972, 1h 32m,"Horror, Science Fiction"
The Rocket Man ,Oscar Rudolph,"Charles Coburn, Spring Byington, Anne Francis, John Agar, George Winslow",1954, 1h 19m,"Science Fiction, Comedy"
Cowboy Bebop: The Movie ,Shinichiro Watanabe,"Kouichi Yamadera, Unsho Ishizuka, Aoi Tada, Ai Kobayashi, Megumi Hayashibara",2001, 1h 55m,"Action, Animation, Science Fiction"
The Wall ,Julian Pölsler,"Martina Gedeck, Ulrike Beimpold, Karlheinz Hackl, Wolfgang Maria Bauer, Julia Gschnitzer",2012, 1h 44m,"Science Fiction, Drama"
Doomsday Machine ,"Harry Hope, Herbert J. Leder, Lee Sholem","Bobby Van, Ruta Lee, Mala Powers, James Craig, Grant Williams",1972, 1h 23m,Science Fiction
Trapped by Television ,Del Lord,"Mary Astor, Lyle Talbot, Nat Pendleton, Joyce Compton, Thurston Hall",1936, 1h 4m,"Science Fiction, Drama, Romance"
Titanoboa: Monster Snake ,Martin Kemp,"Dr. Jonathan Bloch, Alex Hastings, Dr. Jason Head, Fabiany Herrera",2012, 1h 32m,"Documentary, Science Fiction"
The Warlord: Battle for the Galaxy ,Joe Dante,"John Corbett, Carolyn McCormick, John Pyper-Ferguson, J. Madison Wright, Philip Moon",1998, 1h 37m,Science Fiction
Captain Cosmotic ,Thilo Gosejohann,"Jan Hendrik Meyer, Simon Gosejohann, Catrin Hansmerten, Wolfgang Butzlaff",1998, 1h 31m,"Comedy, Science Fiction"
The Facility ,Ian Clark,"Aneurin Barnard, Steve Evets, Jack Doolan, Emily Butterfield, Alex Reid",2012, 1h 25m,"Horror, Science Fiction"
Space Battleship Yamato 2199 Chapter 2 ,Yutaka Izubuchi,,2012, -,"Animation, Action, Science Fiction"
The Day Mars Invaded Earth ,Maury Dexter,"Kent Taylor, Marie Windsor, William Mims, Betty Beall, Lowell Brown",1963, 1h 10m,Science Fiction
The Place Promised in Our Early Days ,Makoto Shinkai,"Hidetaka Yoshioka, Masato Hagiwara, Yuuka Nanri, Unsho Ishizuka, Kazuhiko Inoue",2004, 1h 31m,"Animation, Adventure, Drama, Romance, Science Fiction"
Rage ,Züli Aladag,"Oktay Özdemir, August Zirner, Corinna Harfouch, Robert Höller, Ralph Herforth",2006, -,"Horror, Science Fiction"
Short Circuit 2 ,Kenneth Johnson,"Fisher Stevens, Michael McKean, Cynthia Gibb, Jack Weston, Tim Blaney",1988, 1h 50m,"Comedy, Family, Science Fiction, Drama"
Project Nightmare ,Donald M. Jones,"Charles Miller, Seth Foster, Elly Koslo, Harry Melching, LeRoy Hughes",1987, 1h 30m,"Horror, Science Fiction, Thriller"
