_id,genres,movie,directors,stars,year,runtime,Up_System,index
1127,"Drama, Sci-Fi, Thriller",Warning Sign,Hal Barwood,"Sam Waterston, Kathleen Quinlan, Yaphet Kotto, Jeffrey DeMunn",1985.0,99.0,CM,0
4385,"Drama, Science Fiction, Thriller",Warning Sign ,Hal Barwood,"Sam Waterston, Kathleen Quinlan, Yaphet Kotto, Jeffrey DeMunn, Richard Dysart",1985.0,99.0,CM,0
4545,"Action, Sci-Fi, Thriller",Cold Fusion,Ivan Mitov,"Adrian Paul, Sarah Brown, Michelle Lee, William Hope",2011.0,84.0,CM,1
2537,"Action, Science Fiction",The Archiver ,,,2011.0,4.0,CM,1
4133,"Action, Adventure, Sci-Fi",Silk,,,,,CM,2
3983,"Animation, Science Fiction, Action, Thriller",Squirrel Island ,Astrid Goldsmith,,2016.0,22.0,CM,2
273,"Action, Adventure, Fantasy",Gambit,,"Lizzy Caplan, Channing Tatum",2020.0,,CM,3
166,"Action, Fantasy, Science Fiction",Gambit ,Gore Verbinski,"Channing Tatum, Lizzy Caplan",2020.0,,CM,3
258,"Action, Crime, Drama",Looper,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",2012.0,113.0,CM,4
869,"Action, Thriller, Science Fiction",Looper ,Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano, Noah Segan",2012.0,118.0,CM,4
1382,"Action, Science Fiction",The Wraith ,Mike Marvin,"Charlie Sheen, Nick Cassavetes, Sherilyn Fenn, Randy Quaid, Matthew Barry",1986.0,93.0,CM,5
698,"Action, Horror, Romance",The Wraith,Mike Marvin,"Charlie Sheen, Nick Cassavetes, Sherilyn Fenn, Randy Quaid",1986.0,93.0,CM,5
3873,"Action, Horror, Sci-Fi",The Awakened,"Adrian DeLude, Eric Nichols","Robert Picardo, Matt Corrigan, Richard Gross, Kara Hamilton",2012.0,86.0,CM,6
2809,"Action, Horror, Science Fiction",The Awakened ,"Adrian DeLude, Eric Nichols","Robert Picardo, Matt Corrigan, Richard Gross, Kara Hamilton, Corrie Henninger",2009.0,,CM,6
152,"Horror, Fantasy, Drama, Action, Science Fiction",Attack on Titan ,Shinji Higuchi,"Haruma Miura, Kiko Mizuhara, Kanata Hongo, Nanami Sakuraba, Takahiro Miura",2015.0,98.0,CM,7
1607,"Action, Drama, Fantasy",Attack on Titan II: End of the World,Shinji Higuchi,"Haruma Miura, Hiroki Hasegawa, Kanata Hong, Kiko Mizuhara",2015.0,87.0,CM,7
4494,"Science Fiction, Horror",The Cloud ,Alfonso Garca,,2015.0,6.0,CM,8
4392,"Drama, Horror, Sci-Fi",The Zombie Survival Guide,,,,,CM,8
3019,"Science Fiction, Animation, Horror",When Black Birds Fly ,Jimmy ScreamerClauz,"J.D. Brown, Brandon Slagle, Devanny Pinn, David Firth, Ruby LaRocca",2016.0,105.0,CM,9
3111,"Animation, Horror, Mystery",When Black Birds Fly,Jimmy ScreamerClauz,"J.D. Brown, Brandon Slagle, Devanny Pinn, David Firth",2015.0,105.0,CM,9
3888,"Thriller, Science Fiction",The Black Hole ,Mark Steven Grove,"Malcolm McDowell, Dean Cain, Aaron Perilo, Natalie Distler, Jesse Kove",2015.0,111.0,CM,10
2808,"Sci-Fi, Thriller",The Black Hole,Mark Steven Grove,"Malcolm McDowell, Dean Cain, Izzie Steele, Natalie Distler",2016.0,111.0,CM,10
390,"Horror, Action, Thriller, Science Fiction",Brain Dead ,Adam Simon,"Bill Pullman, Bill Paxton, Nicholas Pryor, Patricia Charbonneau, George Kennedy",1990.0,85.0,CM,11
1169,"Horror, Mystery, Sci-Fi",Brain Dead,Adam Simon,"Bill Pullman, Bill Paxton, Bud Cort, Nicholas Pryor",1990.0,85.0,CM,11
2084,"Comedy, Science Fiction",Hot Bot ,Michael Polish,"Cynthia Kirchner, Doug Haley, Zack Pearlman, Larry Miller, Danny Masterson",2016.0,86.0,CM,12
956,"Comedy, Sci-Fi",Hot Bot,Michael Polish,"Zack Pearlman, Doug Haley, Cynthia Kirchner, David Shackelford",2016.0,86.0,CM,12
1949,"Drama, Romance, Sci-Fi",Judas Kiss,J.T. Tepnapa,"Richard Harmon, Genevieve Buechner, Sean Paul Lockhart, Charlie David",2011.0,94.0,CM,13
4601,"Drama, Science Fiction",Judas Kiss ,J.T. Tepnapa,"Dennis Bateman, Brent Corrigan, Richard Harmon, Charlie David, Genevieve Buechner",2011.0,94.0,CM,13
2064,"Action, Adventure, Comedy",Bakugan: Battle Force,Jee-woon Kim,"Yoon-Seok Kim, Sun-kyun Lee, Dal-su Oh, Eui-sung Kim",2019.0,,CM,14
1274,"Action, Science Fiction",Silver Surfer: Prodigal Son ,,,2019.0,,CM,14
3080,"Action, Adventure, Comedy",The Jurassic Dead,"Milko Davis Main Director, Thomas Martwick","Matt Block, Cooper Elliott, Ben Johnson, Mia Paris",2017.0,82.0,CM,15
4952,"Science Fiction, Horror",Z/Rex: The Jurassic Dead ,"Milko Davis, Thomas Martwick","Matt Block, Ben Johnson, Raquel Pennington, Cooper Elliott, Adam Singer",2017.0,82.0,CM,15
4285,"Family, Comedy, Sci-Fi",Children in the Universe,Richard Viktorov,"Misha Yershov, Aleksandr Grigoryev, Vladimir Savin, Vladimir Basov Ml.",1975.0,84.0,CM,16
420,"Horror, Science Fiction",Children ,Ragnar Bragason,,2006.0,93.0,CM,16
680,"Mystery, Horror, Science Fiction",The Void ,"Steven Kostanski, Jeremy Gillespie","Aaron Poole, Kathleen Munroe, Art Hindle, Daniel Fathers, Kenneth Welsh",2016.0,90.0,CM,17
507,"Horror, Mystery, Sci-Fi",The Void,"Jeremy Gillespie, Steven Kostanski","Aaron Poole, Kenneth Welsh, Daniel Fathers, Kathleen Munroe",2016.0,90.0,CM,17
891,"Horror, Science Fiction",Spawn of the Slithis ,Stephen Traxler,"Alan Blanchard, Judy Motulsky, J.C. Claire, Dennis Falt, Mello Alexandria",1978.0,86.0,CM,18
3484,"Horror, Sci-Fi",Spawn of the Slithis,Stephen Traxler,"Alan Blanchard, Judy Motulsky, J.C. Claire, Dennis Falt",1978.0,86.0,CM,18
4788,"Action, Adventure, Science Fiction",Green Lantern Corps ,,,2020.0,,CM,19
328,"Action, Adventure, Comedy",Free Guy,Shawn Levy,"Jodie Comer, Taika Waititi, Ryan Reynolds, Joe Keery",2020.0,,CM,19
2119,"Adventure, Fantasy, Sci-Fi",On the Silver Globe,Andrzej Zulawski,"Andrzej Seweryn, Jerzy Trela, Grazyna Dylag, Waldemar Kownacki",1988.0,166.0,CM,20
1057,"Science Fiction, Adventure, Fantasy, Drama",On the Silver Globe ,Andrzej uawski,"Andrzej Seweryn, Jerzy Trela, Waldemar Kownacki, Iwona Bielska, Jerzy Graek",1988.0,157.0,CM,20
2136,"Action, Adventure, Comedy",Attack of the 60 Foot Centerfold,Fred Olen Ray,"J.J. North, Ted Monte, Raelyn Saalman, Tammy Parks",1995.0,84.0,CM,21
3808,"Comedy, Science Fiction",Attack of the 60 Foot Centerfold ,Fred Olen Ray,"J.J. North, Ted Monte, Raelyn Saalman, Tammy Parks, Tim Abell",1995.0,84.0,CM,21
442,"Action, Sci-Fi, Thriller",The Recall,Mauro Borrelli,"Wesley Snipes, RJ Mitte, Jedidiah Goodacre, Laura Bilgeri",2017.0,90.0,CM,22
3569,"Science Fiction, Horror",The Recall ,Mauro Borreli,"Wesley Snipes, RJ Mitte, Jedidiah Goodacre, Laura Bilgeri, Niko Pepaj",2017.0,91.0,CM,22
4819,"Action, Sci-Fi",Re-Generator,"Olivier Gruner, Patrick Shanavian","Olivier Gruner, David J. Phillips, Paul Logan, Marisela",2010.0,94.0,CM,23
3784,"Action, Science Fiction",Re-Generator ,Olivier Gruner,"Dana Abrams, Daniel Azouri, Oneida Caldera, Gabriela Castillo, Anna Colona",2010.0,94.0,CM,23
3880,"Thriller, Science Fiction, Action",Alien Rising ,Dana Schroeder,"Lance Henriksen, Amy Hathaway, John Savage, Brian Krause, Dave Vescio",2013.0,93.0,CM,24
3304,"Action, Sci-Fi, Thriller",Alien Rising,Dana Schroeder,"Lance Henriksen, Amy Hathaway, John Savage, Brian Krause",2013.0,93.0,CM,24
1274,"Action, Science Fiction",Silver Surfer: Prodigal Son ,,,2019.0,,CM,25
3335,"Action, Sci-Fi, Thriller",The Blackout,Egor Baranov,"Aleksey Chadov, Svetlana Ivanova, Konstantin Lavronenko, Pyotr Fyodorov",2019.0,,CM,25
3842,"Thriller, Horror, Science Fiction, Action",Toxic Lullaby ,Ralf Kemper,,2010.0,92.0,CM,26
1675,"Horror, Sci-Fi, Thriller",The Tommyknockers,,,,,CM,26
800,Science Fiction,The Invisible Man ,"Khian Bartlett, Carol Damgen","Rene Abelar, Chris Coons, Carol Damgen, Jeremy Hopkins, Jonathan Le Billon",2017.0,88.0,CM,27
3695,Sci-Fi,The Invisible Man,"Khian Bartlett, Carol Damgen, Ryan Del Nero, Jesse Dinkel, Andrew Fisher, Jasmin Perez, Joseph Henson","Rene Abelar, Zachary Bray, Chris Coon, Carol Damgen",2017.0,88.0,CM,27
4424,"Action, Animation, Comedy, Drama, Science Fiction",Switch Man ,Hsun-Chun Chuang,,2015.0,4.0,CM,28
1723,"Action, Comedy, Sci-Fi",Alpha Squad Seven,,,,,CM,28
1970,"Horror, Science Fiction, Crime",The Astro-Zombies ,Ted V. Mikels,"Wendell Corey, John Carradine, Tom Pace, Joan Patrick, Tura Satana",1968.0,91.0,CM,29
2305,"Horror, Sci-Fi",The Astro-Zombies,Ted V. Mikels,"Wendell Corey, John Carradine, Tom Pace, Joan Patrick",1968.0,92.0,CM,29
2813,"Comedy, Horror, Sci-Fi",Horror Hotel the Movie,Ricky Hess,"Tera Buerkle, Deborah Childs, Jordan Demers, Austin Freeman",2016.0,103.0,CM,30
