_id,genres,movie,directors,stars,year,runtime,Up_System,index
2751,"Horror, Sci-Fi",The Demented,Christopher Roosevelt,"Kayla Ewell, Richard Kohnke, Ashlee Brian, Brittney Alger",2013.0,92.0,CM,0
3840,"Animation, Comedy, Science Fiction",The Demented Cartoon Movie! ,Brian Kendall,,2001.0,30.0,CM,0
2579,"Action, Adventure, Sci-Fi",Robotech,Andy Muschietti,,,,CM,1
4788,"Action, Adventure, Science Fiction",Green Lantern Corps ,,,2020.0,,CM,1
3009,"Action, Drama, Sci-Fi",Cyborg 2087,Franklin Adreon,"Michael Rennie, Karen Steele, Wendell Corey, Warren Stevens",1966.0,86.0,CM,2
1327,"Drama, Science Fiction",Cyborg 2087 ,Franklin Adreon,"Michael Rennie, Karen Steele, Wendell Corey, Warren Stevens, Harry Carey, Jr.",1966.0,86.0,CM,2
914,"Adventure, Sci-Fi",Stasis,Nicole Jones-Dion,"Anna Harr, Mark Grossman, London Grace, Tiana Masaniai",2017.0,90.0,CM,3
2646,"Adventure, Science Fiction",Stasis ,Nicole Jones-Dion,"Anna Harr, Mark Grossman, Phyllis Spielman, Tiana Masaniai, Caleb Thomas",2017.0,84.0,CM,3
4955,"Drama, Romance, Sci-Fi",The Cosmonaut,Nicols Alcal,"Katrine De Candole, Leon Ockenden, Max Wrottesley, Hans-Eckart Eckhardt",2013.0,93.0,CM,4
3703,"Drama, Science Fiction",The Cosmonaut ,Nicols Alcal,"Katrine De Candole, Max Wrottesley, Leon Ockenden, Hans-Eckart Eckhardt, David Barrass",2013.0,102.0,CM,4
2210,"Horror, Sci-Fi",Not of This Earth,Roger Corman,"Paul Birch, Beverly Garland, Morgan Jones, William Roerick",1957.0,67.0,CM,5
3850,"Horror, Science Fiction",Not of This Earth ,Roger Corman,"Paul Birch, Beverly Garland, Morgan Jones, William Roerick, Jonathan Haze",1957.0,67.0,CM,5
3944,"Animation, Action, Adventure",Hullabaloo,James Lopez,"Yuri Lowenthal, Mary Robinette Kowal, G.D. Falksen",,,CM,6
1274,"Action, Science Fiction",Silver Surfer: Prodigal Son ,,,2019.0,,CM,6
4788,"Action, Adventure, Science Fiction",Green Lantern Corps ,,,2020.0,,CM,7
3263,"Action, Horror, Sci-Fi",Texas Zombie Wars: El Paso Outpost,A.K. Waters,"Mikal Vega, Melissa Mars, Max Mullen, Anna Terry",,,CM,7
47,"Thriller, Science Fiction",95ers: Time Runners ,Thomas Gomez Durham,"Alesandra Durham, Joel Bishop, Terence Goodman, Ian Paul Freeth, Chris Laird",2013.0,96.0,CM,8
4666,"Sci-Fi, Thriller",95ers: Echoes,Thomas Gomez Durham,"Alesandra Durham, Joel Bishop, Terence Goodman, K. Danor Gerald",2013.0,96.0,CM,8
2218,"Animation, Comedy, Science Fiction, Family",Ultra Nyan 2: The Great Happy Operation ,,"Mei Oshitani, Yoshiko Kamei, Akio Otsuka, Rokuro Naya, Naoki Band",1998.0,30.0,CM,9
1781,Sci-Fi,The Sinister Six,,,,,CM,9
1118,"Action, Science Fiction, Thriller, Horror",The Meg ,Jon Turteltaub,"Jason Statham, Li Bingbing, Rainn Wilson, Cliff Curtis, Ruby Rose",2018.0,113.0,CM,10
24,"Action, Horror, Sci-Fi",The Meg,Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis",2018.0,113.0,CM,10
4798,"Action, Sci-Fi",Murdercycle,Thomas L. Callaway,"Charles Wesley, Cassandra Ellis, Robert Donavan, Michael Vachetti",1999.0,90.0,CM,11
3,"Action, Science Fiction",Murdercycle ,Thomas L. Callaway,"Charles Wesley, Cassandra Ellis, Robert Donavan, Michael Vachetti, Robert Staccardo",1999.0,90.0,CM,11
2653,"Comedy, Sci-Fi",Thermae Romae,Hideki Takeuchi,"Hiroshi Abe, Aya Ueto, Kazuki Kitamura, Riki Takeuchi",2012.0,108.0,CM,12
466,"Drama, Comedy, Science Fiction",Thermae Romae ,Hideki Takeuchi,"Hiroshi Abe, Aya Ueto, Masachika Ichimura, Kazuki Kitamura, Kai Shishido",2012.0,108.0,CM,12
938,"Adventure, Comedy, Mystery",Cocoon: The Return,Daniel Petrie,"Don Ameche, Wilford Brimley, Courteney Cox, Hume Cronyn",1988.0,116.0,CM,13
