A_id,B_id,score
0,1274,1
1,1274,1
2,1274,1
3,2235,3
5,1274,1
9,1237,1
10,3077,4
11,2982,5
12,1274,1
13,1069,4
14,4465,4
15,4811,4
17,1144,4
18,2463,5
19,359,3
22,3264,5
23,1274,1
24,1118,5
25,3093,4
28,4770,4
29,3744,5
30,399,5
31,3812,5
32,1274,1
33,453,5
35,921,5
36,1274,1
37,2064,4
38,2537,1
39,2135,4
40,1682,5
43,4969,4
44,2365,5
48,1446,5
49,2451,5
50,4111,5
52,2759,5
55,2854,5
57,1168,5
59,964,5
63,1424,1
64,274,5
65,1437,5
67,2460,5
70,4942,5
71,4341,5
77,3237,5
78,4457,5
79,638,4
80,990,4
83,3407,5
85,4561,5
86,2734,1
88,3652,5
89,4893,0
90,2194,4
92,1340,5
93,2589,4
96,4944,5
97,4688,5
98,2537,1
100,1814,4
101,2146,4
102,3909,4
103,992,5
105,2675,4
108,628,5
109,2400,4
114,4788,1
115,2537,1
117,4025,5
121,1472,5
123,399,3
125,4138,5
126,4215,5
127,2837,5
128,2308,5
129,2813,5
130,1265,5
131,287,5
132,4625,3
133,997,5
134,907,3
135,2744,5
136,130,5
137,1466,5
138,2064,3
140,3241,4
141,4610,5
146,1403,5
148,3008,1
151,3218,5
155,305,4
156,2762,5
159,731,4
163,2572,4
165,1847,5
167,1271,5
169,4178,5
170,2641,3
171,4651,5
173,462,2
176,1498,1
177,3254,3
185,4021,4
186,3202,5
188,1274,1
189,4224,5
194,2393,5
197,4044,2
198,4457,2
199,721,5
200,2214,5
201,6,5
202,1476,5
205,3252,4
206,4365,5
207,2273,5
208,4089,4
212,1016,4
213,4184,5
215,2028,4
216,191,1
218,2527,5
221,2369,5
222,3755,5
223,947,5
228,4699,4
229,4154,5
231,1952,5
232,4788,1
233,367,5
241,2269,5
242,1843,5
245,4788,0
250,3527,4
252,3293,5
253,3726,5
254,4707,2
255,2323,5
256,914,5
258,869,4
259,1328,4
261,331,5
262,4788,0
265,2284,5
267,811,3
269,2190,5
270,3263,5
271,2235,3
273,166,2
276,3710,5
277,3284,5
278,1112,5
280,593,0
281,4421,5
282,4293,4
284,3074,5
285,1274,1
286,4188,5
290,1377,4
291,2537,1
292,1233,4
293,4398,5
294,4001,4
295,4146,5
296,1353,5
298,519,4
299,2917,5
300,207,5
301,4416,4
303,900,5
308,4788,1
309,3751,5
310,2609,2
311,3275,5
312,1426,5
313,2813,3
314,2723,3
316,2764,5
318,1837,5
319,555,5
320,4788,1
321,2839,5
324,4788,0
325,4349,4
328,4788,1
329,1334,5
331,4864,5
333,1623,5
334,1237,1
335,57,5
336,953,5
338,462,5
339,4788,1
340,3617,3
341,2268,5
344,2537,1
346,2979,4
348,4788,1
350,4722,1
353,2301,5
356,1805,5
359,1833,5
360,3451,1
361,1423,5
364,2680,5
365,3716,5
369,4788,0
371,2248,4
373,4659,5
377,3730,5
384,3940,5
386,3814,5
387,4143,5
388,4788,0
389,1274,0
393,578,5
394,2577,5
395,996,5
396,2352,4
397,2537,1
398,2300,4
399,4668,5
400,2305,5
401,2776,5
404,323,5
407,3394,4
409,394,5
410,3449,4
411,284,1
412,1274,0
415,2846,5
418,1421,5
419,1698,4
420,3145,1
421,529,5
422,3373,5
427,4207,5
428,3164,1
429,1898,5
430,3326,5
433,1370,4
435,414,5
438,1274,1
442,3569,3
443,4117,5
444,103,5
445,2264,4
447,3400,3
451,50,4
453,3578,3
454,4011,4
456,2537,0
459,3248,5
462,3778,5
465,448,4
467,2865,4
469,3599,5
472,2537,1
479,3896,4
480,443,4
484,4661,5
485,4631,5
489,488,5
490,1848,4
497,1532,4
500,1613,1
502,514,5
503,438,5
504,1873,5
507,680,4
508,1350,5
509,1416,4
510,899,5
512,1474,5
513,4788,0
514,4788,0
516,1811,5
518,4701,5
519,1325,5
521,2782,5
525,3069,0
526,1369,5
528,3321,5
529,2087,5
530,42,5
535,4788,0
543,2315,4
544,1460,4
546,4241,5
547,2883,4
549,1499,5
551,1936,5
552,1868,5
553,2463,2
555,1735,5
556,4218,4
557,976,4
561,2226,5
562,1274,1
564,1835,5
565,1015,5
566,451,5
567,1557,5
569,812,5
570,1622,5
571,1781,1
572,4788,0
574,1237,1
576,1237,1
577,528,5
580,4632,5
581,3226,5
582,2826,5
584,4640,5
585,3772,5
591,1925,5
592,1360,5
594,2537,0
597,621,5
598,1594,5
599,2326,5
600,4823,0
603,3315,5
604,2767,5
606,608,5
607,2923,5
610,3898,0
612,4258,5
613,2203,2
615,2537,1
617,2836,5
618,1441,5
619,4646,5
620,4259,0
621,2337,3
623,1914,4
627,1108,3
631,3355,5
632,2154,3
634,2733,5
635,1274,1
636,4788,2
639,2609,3
641,3742,5
642,3224,4
643,2585,5
644,1746,4
645,37,5
648,646,5
650,4075,5
651,4545,4
652,4557,5
654,4039,2
657,2653,4
660,1032,4
664,2560,0
666,4716,4
667,877,5
668,1053,5
671,1836,5
672,4642,5
674,486,5
675,1543,5
678,4943,1
679,3204,5
682,606,5
685,3579,4
687,885,5
689,2107,5
690,3666,5
695,2127,4
